grader,task_id,tier,tier_index,page_index,page_filename,score,elapsed_ms,component:block_match,component:text,component:position,component:color,component:block_ssim,component:edge_ssim,component:clip,component:cw_ssim,component:ssim,component:lpips,component:layout_fidelity,component:color_accuracy,component:typography_hierarchy,component:spacing_and_rhythm,component:component_structure,component:asset_placement,component:text_content_fidelity,component:visual_polish,component:semantic_correctness,component:overall_similarity
design2code,ww-00008,tier_05_blank,5,2,page_02.html,0.203085,1541.62,0.000000,0.000000,0.000000,0.000000,0.000000,0.810606,0.610989,,,,,,,,,,,,,
design2code,ww-00008,tier_05_blank,5,3,page_03.html,0.208847,1591.84,0.000000,0.000000,0.000000,0.000000,0.000000,0.823771,0.638161,,,,,,,,,,,,,
design2code,ww-00008,tier_05_blank,5,4,page_04.html,0.210898,1632.01,0.000000,0.000000,0.000000,0.000000,0.000000,0.832187,0.644097,,,,,,,,,,,,,
design2code,ww-00008,tier_05_blank,5,5,page_05.html,0.212375,1716.75,0.000000,0.000000,0.000000,0.000000,0.000000,0.846126,0.640496,,,,,,,,,,,,,
design2code,ww-00008,tier_06_within_block_drift,6,1,index.html,0.638486,7733.70,0.854462,0.507357,0.946658,0.214435,0.313663,0.757222,0.875604,,,,,,,,,,,,,
design2code,ww-00008,tier_06_within_block_drift,6,2,page_02.html,0.688910,6106.67,0.955498,0.408895,0.944476,0.407733,0.550683,0.724531,0.830555,,,,,,,,,,,,,
design2code,ww-00008,tier_06_within_block_drift,6,3,page_03.html,0.669628,5936.37,0.795220,0.419960,0.944703,0.431542,0.545713,0.735055,0.815202,,,,,,,,,,,,,
design2code,ww-00008,tier_06_within_block_drift,6,4,page_04.html,0.741978,5124.56,0.963003,0.533047,0.946541,0.505724,0.571572,0.785221,0.888736,,,,,,,,,,,,,
design2code,ww-00008,tier_06_within_block_drift,6,5,page_05.html,0.674239,6166.11,0.915628,0.414821,0.948176,0.370817,0.442213,0.760121,0.867900,,,,,,,,,,,,,
design2code,ww-00008,adv_01_brand_color_blank,7,1,index.html,0.220213,1818.38,0.000000,0.000000,0.000000,0.000000,0.000000,0.830995,0.710499,,,,,,,,,,,,,
design2code,ww-00008,adv_01_brand_color_blank,7,2,page_02.html,0.211947,1497.18,0.000000,0.000000,0.000000,0.000000,0.000000,0.810606,0.673024,,,,,,,,,,,,,
design2code,ww-00008,adv_01_brand_color_blank,7,3,page_03.html,0.214601,1518.52,0.000000,0.000000,0.000000,0.000000,0.000000,0.823771,0.678435,,,,,,,,,,,,,
design2code,ww-00008,adv_01_brand_color_blank,7,4,page_04.html,0.218980,1497.92,0.000000,0.000000,0.000000,0.000000,0.000000,0.832187,0.700670,,,,,,,,,,,,,
design2code,ww-00008,adv_01_brand_color_blank,7,5,page_05.html,0.217920,1482.63,0.000000,0.000000,0.000000,0.000000,0.000000,0.846126,0.679313,,,,,,,,,,,,,
design2code,ww-00008,adv_02_color_block,8,1,index.html,0.201973,1924.67,0.000000,0.000000,0.000000,0.000000,0.000000,0.830995,0.582815,,,,,,,,,,,,,
design2code,ww-00008,adv_02_color_block,8,2,page_02.html,0.195076,1599.15,0.000000,0.000000,0.000000,0.000000,0.000000,0.810606,0.554929,,,,,,,,,,,,,
design2code,ww-00008,adv_02_color_block,8,3,page_03.html,0.201478,1551.29,0.000000,0.000000,0.000000,0.000000,0.000000,0.823771,0.586575,,,,,,,,,,,,,
design2code,ww-00008,adv_02_color_block,8,4,page_04.html,0.203391,1541.33,0.000000,0.000000,0.000000,0.000000,0.000000,0.832187,0.591547,,,,,,,,,,,,,
design2code,ww-00008,adv_02_color_block,8,5,page_05.html,0.205387,1538.48,0.000000,0.000000,0.000000,0.000000,0.000000,0.846126,0.591584,,,,,,,,,,,,,
design2code,ww-00008,adv_03_text_dump,9,1,index.html,0.434028,9079.43,0.213230,0.097440,0.920239,0.030073,0.309683,0.778753,0.688778,,,,,,,,,,,,,
design2code,ww-00008,adv_03_text_dump,9,2,page_02.html,0.437023,6368.88,0.133296,0.127923,0.880589,0.206877,0.259107,0.762309,0.689062,,,,,,,,,,,,,
design2code,ww-00008,adv_03_text_dump,9,3,page_03.html,0.400705,6147.94,0.085224,0.199886,0.888043,0.016785,0.164758,0.777757,0.672483,,,,,,,,,,,,,
design2code,ww-00008,adv_03_text_dump,9,4,page_04.html,0.460280,5502.87,0.198249,0.096043,0.906852,0.123121,0.391286,0.778446,0.727968,,,,,,,,,,,,,
design2code,ww-00008,adv_03_text_dump,9,5,page_05.html,0.479509,7916.91,0.187437,0.092443,0.921785,0.353018,0.321027,0.783305,0.697550,,,,,,,,,,,,,
waffle,ww-00008,tier_01_verbatim,1,1,index.html,0.687725,8931.54,0.988917,0.533233,0.967969,0.569124,0.605717,0.773195,0.907786,0.155857,,,,,,,,,,,,
waffle,ww-00008,tier_01_verbatim,1,2,page_02.html,0.744147,6794.08,0.949939,0.601187,0.977084,0.785704,0.759266,0.752054,0.961100,0.166846,,,,,,,,,,,,
waffle,ww-00008,tier_01_verbatim,1,3,page_03.html,0.745322,6761.01,0.986900,0.718515,0.972253,0.767440,0.736155,0.716643,0.948865,0.115801,,,,,,,,,,,,
waffle,ww-00008,tier_01_verbatim,1,4,page_04.html,0.802736,5804.87,1.000000,0.669340,0.976044,0.819550,0.800956,0.844140,0.941383,0.370478,,,,,,,,,,,,
waffle,ww-00008,tier_01_verbatim,1,5,page_05.html,0.725813,6461.58,0.991999,0.581655,0.966882,0.743787,0.672761,0.755707,0.962114,0.131598,,,,,,,,,,,,
waffle,ww-00008,tier_02_minor,2,1,index.html,0.684797,8771.17,0.996738,0.564405,0.969622,0.519911,0.591907,0.771415,0.905787,0.158589,,,,,,,,,,,,
waffle,ww-00008,tier_02_minor,2,2,page_02.html,0.732609,6792.30,0.996502,0.554868,0.963673,0.732071,0.707167,0.766174,0.962055,0.178359,,,,,,,,,,,,
waffle,ww-00008,tier_02_minor,2,3,page_03.html,0.722641,6583.88,0.986900,0.669568,0.967990,0.698683,0.692541,0.710621,0.947651,0.107173,,,,,,,,,,,,
waffle,ww-00008,tier_02_minor,2,4,page_04.html,0.788291,5997.15,0.993502,0.687585,0.981177,0.785174,0.782546,0.833306,0.949407,0.293630,,,,,,,,,,,,
waffle,ww-00008,tier_02_minor,2,5,page_05.html,0.705558,5584.21,0.987898,0.521259,0.950463,0.687207,0.655793,0.755843,0.958104,0.127895,,,,,,,,,,,,
waffle,ww-00008,tier_03_section_removed,3,1,index.html,0.604512,8323.12,0.898925,0.384619,0.912335,0.433414,0.499875,0.702960,0.916628,0.087342,,,,,,,,,,,,
waffle,ww-00008,tier_03_section_removed,3,2,page_02.html,0.666779,6602.00,0.875155,0.362166,0.927118,0.767945,0.723836,0.676798,0.899197,0.102020,,,,,,,,,,,,
waffle,ww-00008,tier_03_section_removed,3,3,page_03.html,0.686184,4983.01,0.873060,0.518099,0.913515,0.744870,0.701487,0.703630,0.944167,0.090641,,,,,,,,,,,,
waffle,ww-00008,tier_03_section_removed,3,4,page_04.html,0.697899,5421.97,0.924397,0.437964,0.934741,0.766583,0.756867,0.721219,0.928868,0.112557,,,,,,,,,,,,
waffle,ww-00008,tier_03_section_removed,3,5,page_05.html,0.633161,6208.82,0.842946,0.278593,0.916765,0.693360,0.621204,0.736742,0.876359,0.099318,,,,,,,,,,,,
waffle,ww-00008,tier_04_shuffle_repaint,4,1,index.html,0.501848,8590.27,0.767597,0.333639,0.905978,0.183058,0.263622,0.696928,0.790565,0.073394,,,,,,,,,,,,
waffle,ww-00008,tier_04_shuffle_repaint,4,2,page_02.html,0.592833,7212.82,0.931161,0.307251,0.878239,0.495743,0.569739,0.670189,0.806649,0.083695,,,,,,,,,,,,
waffle,ww-00008,tier_04_shuffle_repaint,4,3,page_03.html,0.562251,6551.42,0.882990,0.388580,0.894574,0.315856,0.378920,0.701743,0.851854,0.083492,,,,,,,,,,,,
waffle,ww-00008,tier_04_shuffle_repaint,4,4,page_04.html,0.674967,5841.57,0.925647,0.548553,0.943858,0.597449,0.613776,0.780083,0.855993,0.134374,,,,,,,,,,,,
waffle,ww-00008,tier_04_shuffle_repaint,4,5,page_05.html,0.577710,7877.56,0.926975,0.335140,0.916761,0.386638,0.399106,0.740971,0.813740,0.102347,,,,,,,,,,,,
waffle,ww-00008,tier_05_blank,5,1,index.html,0.194251,2491.56,0.000000,0.000000,0.000000,0.000000,0.000000,0.830995,0.653174,0.069836,,,,,,,,,,,,
waffle,ww-00008,tier_05_blank,5,2,page_02.html,0.189016,2034.31,0.000000,0.000000,0.000000,0.000000,0.000000,0.810606,0.610989,0.090534,,,,,,,,,,,,
waffle,ww-00008,tier_05_blank,5,3,page_03.html,0.193817,2028.44,0.000000,0.000000,0.000000,0.000000,0.000000,0.823771,0.638161,0.088605,,,,,,,,,,,,
waffle,ww-00008,tier_05_blank,5,4,page_04.html,0.197927,2054.64,0.000000,0.000000,0.000000,0.000000,0.000000,0.832187,0.644097,0.107129,,,,,,,,,,,,
waffle,ww-00008,tier_05_blank,5,5,page_05.html,0.198427,2220.27,0.000000,0.000000,0.000000,0.000000,0.000000,0.846126,0.640496,0.100798,,,,,,,,,,,,
waffle,ww-00008,tier_06_within_block_drift,6,1,index.html,0.571641,8415.85,0.854462,0.507357,0.946658,0.214435,0.313663,0.757222,0.875604,0.103725,,,,,,,,,,,,
waffle,ww-00008,tier_06_within_block_drift,6,2,page_02.html,0.617471,6521.48,0.955498,0.408895,0.944476,0.407733,0.550683,0.724531,0.830555,0.117397,,,,,,,,,,,,
waffle,ww-00008,tier_06_within_block_drift,6,3,page_03.html,0.599538,6531.60,0.795220,0.419960,0.944703,0.431542,0.545713,0.735055,0.815202,0.108906,,,,,,,,,,,,
waffle,ww-00008,tier_06_within_block_drift,6,4,page_04.html,0.666761,5665.54,0.963003,0.533047,0.946541,0.505724,0.571572,0.785221,0.888736,0.140242,,,,,,,,,,,,
waffle,ww-00008,tier_06_within_block_drift,6,5,page_05.html,0.603620,6907.90,0.915628,0.414821,0.948176,0.370817,0.442213,0.760121,0.867900,0.109285,,,,,,,,,,,,
waffle,ww-00008,adv_01_brand_color_blank,7,1,index.html,0.199558,2472.65,0.000000,0.000000,0.000000,0.000000,0.000000,0.830995,0.710499,0.054967,,,,,,,,,,,,
waffle,ww-00008,adv_01_brand_color_blank,7,2,page_02.html,0.197060,2022.91,0.000000,0.000000,0.000000,0.000000,0.000000,0.810606,0.673024,0.092851,,,,,,,,,,,,
waffle,ww-00008,adv_01_brand_color_blank,7,3,page_03.html,0.200357,2025.62,0.000000,0.000000,0.000000,0.000000,0.000000,0.823771,0.678435,0.100650,,,,,,,,,,,,
waffle,ww-00008,adv_01_brand_color_blank,7,4,page_04.html,0.198210,2032.54,0.000000,0.000000,0.000000,0.000000,0.000000,0.832187,0.700670,0.052821,,,,,,,,,,,,
waffle,ww-00008,adv_01_brand_color_blank,7,5,page_05.html,0.204688,2190.75,0.000000,0.000000,0.000000,0.000000,0.000000,0.846126,0.679313,0.112067,,,,,,,,,,,,
waffle,ww-00008,adv_02_color_block,8,1,index.html,0.185404,2502.97,0.000000,0.000000,0.000000,0.000000,0.000000,0.830995,0.582815,0.069423,,,,,,,,,,,,
waffle,ww-00008,adv_02_color_block,8,2,page_02.html,0.181954,2012.38,0.000000,0.000000,0.000000,0.000000,0.000000,0.810606,0.554929,0.090095,,,,,,,,,,,,
waffle,ww-00008,adv_02_color_block,8,3,page_03.html,0.187327,2048.69,0.000000,0.000000,0.000000,0.000000,0.000000,0.823771,0.586575,0.088274,,,,,,,,,,,,
waffle,ww-00008,adv_02_color_block,8,4,page_04.html,0.191311,2028.24,0.000000,0.000000,0.000000,0.000000,0.000000,0.832187,0.591547,0.106756,,,,,,,,,,,,
waffle,ww-00008,adv_02_color_block,8,5,page_05.html,0.192250,2170.88,0.000000,0.000000,0.000000,0.000000,0.000000,0.846126,0.591584,0.100287,,,,,,,,,,,,
waffle,ww-00008,adv_03_text_dump,9,1,index.html,0.388728,9623.09,0.213230,0.097440,0.920239,0.030073,0.309683,0.778753,0.688778,0.071632,,,,,,,,,,,,
waffle,ww-00008,adv_03_text_dump,9,2,page_02.html,0.393498,6939.94,0.133296,0.127923,0.880589,0.206877,0.259107,0.762309,0.689062,0.088823,,,,,,,,,,,,
waffle,ww-00008,adv_03_text_dump,9,3,page_03.html,0.360975,6585.08,0.085224,0.199886,0.888043,0.016785,0.164758,0.777757,0.672483,0.082865,,,,,,,,,,,,
waffle,ww-00008,adv_03_text_dump,9,4,page_04.html,0.415726,5991.62,0.198249,0.096043,0.906852,0.123121,0.391286,0.778446,0.727968,0.103843,,,,,,,,,,,,
waffle,ww-00008,adv_03_text_dump,9,5,page_05.html,0.431499,8457.36,0.187437,0.092443,0.921785,0.353018,0.321027,0.783305,0.697550,0.095424,,,,,,,,,,,,
perceptual,ww-00008,tier_01_verbatim,1,1,index.html,0.798585,37254.25,,,,,,,,,0.790145,0.807024,,,,,,,,,,
perceptual,ww-00008,tier_01_verbatim,1,2,page_02.html,0.796735,28731.08,,,,,,,,,0.768212,0.825259,,,,,,,,,,
perceptual,ww-00008,tier_01_verbatim,1,3,page_03.html,0.651528,29487.23,,,,,,,,,0.660802,0.642253,,,,,,,,,,
perceptual,ww-00008,tier_01_verbatim,1,4,page_04.html,0.922936,28483.08,,,,,,,,,0.912026,0.933846,,,,,,,,,,
perceptual,ww-00008,tier_01_verbatim,1,5,page_05.html,0.783103,36150.41,,,,,,,,,0.778637,0.787569,,,,,,,,,,
perceptual,ww-00008,tier_02_minor,2,1,index.html,0.792572,38625.46,,,,,,,,,0.779285,0.805858,,,,,,,,,,
perceptual,ww-00008,tier_02_minor,2,2,page_02.html,0.792452,28299.86,,,,,,,,,0.760967,0.823938,,,,,,,,,,
perceptual,ww-00008,tier_02_minor,2,3,page_03.html,0.635078,29367.49,,,,,,,,,0.645576,0.624580,,,,,,,,,,
perceptual,ww-00008,tier_02_minor,2,4,page_04.html,0.893649,30753.20,,,,,,,,,0.872748,0.914550,,,,,,,,,,
perceptual,ww-00008,tier_02_minor,2,5,page_05.html,0.770583,35686.11,,,,,,,,,0.767659,0.773506,,,,,,,,,,
perceptual,ww-00008,tier_03_section_removed,3,1,index.html,0.524866,38784.85,,,,,,,,,0.556411,0.493321,,,,,,,,,,
perceptual,ww-00008,tier_03_section_removed,3,2,page_02.html,0.474340,27743.46,,,,,,,,,0.496025,0.452654,,,,,,,,,,
perceptual,ww-00008,tier_03_section_removed,3,3,page_03.html,0.552990,29297.58,,,,,,,,,0.568806,0.537174,,,,,,,,,,
perceptual,ww-00008,tier_03_section_removed,3,4,page_04.html,0.560469,27715.98,,,,,,,,,0.577148,0.543791,,,,,,,,,,
perceptual,ww-00008,tier_03_section_removed,3,5,page_05.html,0.496677,32114.29,,,,,,,,,0.522870,0.470485,,,,,,,,,,
perceptual,ww-00008,tier_04_shuffle_repaint,4,1,index.html,0.290257,35578.43,,,,,,,,,0.224640,0.355875,,,,,,,,,,
perceptual,ww-00008,tier_04_shuffle_repaint,4,2,page_02.html,0.336538,27681.23,,,,,,,,,0.317769,0.355307,,,,,,,,,,
perceptual,ww-00008,tier_04_shuffle_repaint,4,3,page_03.html,0.283426,28150.27,,,,,,,,,0.265711,0.301141,,,,,,,,,,
perceptual,ww-00008,tier_04_shuffle_repaint,4,4,page_04.html,0.515635,28040.06,,,,,,,,,0.425892,0.605379,,,,,,,,,,
perceptual,ww-00008,tier_04_shuffle_repaint,4,5,page_05.html,0.369564,33874.18,,,,,,,,,0.333112,0.406015,,,,,,,,,,
perceptual,ww-00008,tier_05_blank,5,1,index.html,0.310817,32880.70,,,,,,,,,0.276274,0.345360,,,,,,,,,,
perceptual,ww-00008,tier_05_blank,5,2,page_02.html,0.455253,27310.40,,,,,,,,,0.504811,0.405694,,,,,,,,,,
perceptual,ww-00008,tier_05_blank,5,3,page_03.html,0.383624,25561.64,,,,,,,,,0.421054,0.346195,,,,,,,,,,
perceptual,ww-00008,tier_05_blank,5,4,page_04.html,0.374845,27608.61,,,,,,,,,0.351926,0.397763,,,,,,,,,,
perceptual,ww-00008,tier_05_blank,5,5,page_05.html,0.459747,32517.22,,,,,,,,,0.485862,0.433633,,,,,,,,,,
perceptual,ww-00008,tier_06_within_block_drift,6,1,index.html,0.375696,37497.00,,,,,,,,,0.337001,0.414390,,,,,,,,,,
perceptual,ww-00008,tier_06_within_block_drift,6,2,page_02.html,0.433180,28616.75,,,,,,,,,0.427900,0.438460,,,,,,,,,,
perceptual,ww-00008,tier_06_within_block_drift,6,3,page_03.html,0.332071,29299.84,,,,,,,,,0.312425,0.351717,,,,,,,,,,
perceptual,ww-00008,tier_06_within_block_drift,6,4,page_04.html,0.527347,28013.57,,,,,,,,,0.464390,0.590304,,,,,,,,,,
perceptual,ww-00008,tier_06_within_block_drift,6,5,page_05.html,0.435146,35710.36,,,,,,,,,0.435054,0.435237,,,,,,,,,,
perceptual,ww-00008,adv_01_brand_color_blank,7,1,index.html,0.514111,35269.92,,,,,,,,,0.504037,0.524185,,,,,,,,,,
perceptual,ww-00008,adv_01_brand_color_blank,7,2,page_02.html,0.468021,28436.70,,,,,,,,,0.523188,0.412853,,,,,,,,,,
perceptual,ww-00008,adv_01_brand_color_blank,7,3,page_03.html,0.521796,27706.03,,,,,,,,,0.511963,0.531630,,,,,,,,,,
perceptual,ww-00008,adv_01_brand_color_blank,7,4,page_04.html,0.483028,27989.75,,,,,,,,,0.490749,0.475307,,,,,,,,,,
perceptual,ww-00008,adv_01_brand_color_blank,7,5,page_05.html,0.520446,35174.80,,,,,,,,,0.489572,0.551321,,,,,,,,,,
perceptual,ww-00008,adv_02_color_block,8,1,index.html,0.320693,36276.53,,,,,,,,,0.284067,0.357319,,,,,,,,,,
perceptual,ww-00008,adv_02_color_block,8,2,page_02.html,0.465915,27711.75,,,,,,,,,0.510198,0.421632,,,,,,,,,,
perceptual,ww-00008,adv_02_color_block,8,3,page_03.html,0.389406,28259.31,,,,,,,,,0.427063,0.351750,,,,,,,,,,
perceptual,ww-00008,adv_02_color_block,8,4,page_04.html,0.392298,27823.36,,,,,,,,,0.359935,0.424661,,,,,,,,,,
perceptual,ww-00008,adv_02_color_block,8,5,page_05.html,0.469921,35445.08,,,,,,,,,0.493861,0.445980,,,,,,,,,,
perceptual,ww-00008,adv_03_text_dump,9,1,index.html,0.290013,36983.49,,,,,,,,,0.259133,0.320894,,,,,,,,,,
perceptual,ww-00008,adv_03_text_dump,9,2,page_02.html,0.428124,28499.20,,,,,,,,,0.478883,0.377365,,,,,,,,,,
perceptual,ww-00008,adv_03_text_dump,9,3,page_03.html,0.364674,29833.89,,,,,,,,,0.400203,0.329144,,,,,,,,,,
perceptual,ww-00008,adv_03_text_dump,9,4,page_04.html,0.353253,29474.06,,,,,,,,,0.335642,0.370864,,,,,,,,,,
perceptual,ww-00008,adv_03_text_dump,9,5,page_05.html,0.420840,36257.41,,,,,,,,,0.447886,0.393794,,,,,,,,,,
clip_only,ww-00008,tier_01_verbatim,1,1,index.html,0.907786,225.04,,,,,,,0.907786,,,,,,,,,,,,,
clip_only,ww-00008,tier_01_verbatim,1,2,page_02.html,0.961100,137.61,,,,,,,0.961100,,,,,,,,,,,,,
clip_only,ww-00008,tier_01_verbatim,1,3,page_03.html,0.948865,140.59,,,,,,,0.948865,,,,,,,,,,,,,
clip_only,ww-00008,tier_01_verbatim,1,4,page_04.html,0.941383,142.79,,,,,,,0.941383,,,,,,,,,,,,,
clip_only,ww-00008,tier_01_verbatim,1,5,page_05.html,0.962114,161.55,,,,,,,0.962114,,,,,,,,,,,,,
clip_only,ww-00008,tier_02_minor,2,1,index.html,0.905787,158.14,,,,,,,0.905787,,,,,,,,,,,,,
clip_only,ww-00008,tier_02_minor,2,2,page_02.html,0.962055,137.37,,,,,,,0.962055,,,,,,,,,,,,,
clip_only,ww-00008,tier_02_minor,2,3,page_03.html,0.947651,141.89,,,,,,,0.947651,,,,,,,,,,,,,
clip_only,ww-00008,tier_02_minor,2,4,page_04.html,0.949407,144.49,,,,,,,0.949407,,,,,,,,,,,,,
clip_only,ww-00008,tier_02_minor,2,5,page_05.html,0.958104,157.43,,,,,,,0.958104,,,,,,,,,,,,,
clip_only,ww-00008,tier_03_section_removed,3,1,index.html,0.916628,160.35,,,,,,,0.916628,,,,,,,,,,,,,
clip_only,ww-00008,tier_03_section_removed,3,2,page_02.html,0.899197,135.36,,,,,,,0.899197,,,,,,,,,,,,,
clip_only,ww-00008,tier_03_section_removed,3,3,page_03.html,0.944167,140.08,,,,,,,0.944167,,,,,,,,,,,,,
clip_only,ww-00008,tier_03_section_removed,3,4,page_04.html,0.928868,154.07,,,,,,,0.928868,,,,,,,,,,,,,
clip_only,ww-00008,tier_03_section_removed,3,5,page_05.html,0.876359,154.94,,,,,,,0.876359,,,,,,,,,,,,,
clip_only,ww-00008,tier_04_shuffle_repaint,4,1,index.html,0.790565,161.65,,,,,,,0.790565,,,,,,,,,,,,,
clip_only,ww-00008,tier_04_shuffle_repaint,4,2,page_02.html,0.806649,137.53,,,,,,,0.806649,,,,,,,,,,,,,
clip_only,ww-00008,tier_04_shuffle_repaint,4,3,page_03.html,0.851854,139.94,,,,,,,0.851854,,,,,,,,,,,,,
clip_only,ww-00008,tier_04_shuffle_repaint,4,4,page_04.html,0.855993,141.44,,,,,,,0.855993,,,,,,,,,,,,,
clip_only,ww-00008,tier_04_shuffle_repaint,4,5,page_05.html,0.813740,155.28,,,,,,,0.813740,,,,,,,,,,,,,
clip_only,ww-00008,tier_05_blank,5,1,index.html,0.653174,138.90,,,,,,,0.653174,,,,,,,,,,,,,
clip_only,ww-00008,tier_05_blank,5,2,page_02.html,0.610989,127.58,,,,,,,0.610989,,,,,,,,,,,,,
clip_only,ww-00008,tier_05_blank,5,3,page_03.html,0.638161,126.23,,,,,,,0.638161,,,,,,,,,,,,,
clip_only,ww-00008,tier_05_blank,5,4,page_04.html,0.644097,121.72,,,,,,,0.644097,,,,,,,,,,,,,
clip_only,ww-00008,tier_05_blank,5,5,page_05.html,0.640496,136.70,,,,,,,0.640496,,,,,,,,,,,,,
clip_only,ww-00008,tier_06_within_block_drift,6,1,index.html,0.875604,158.20,,,,,,,0.875604,,,,,,,,,,,,,
clip_only,ww-00008,tier_06_within_block_drift,6,2,page_02.html,0.830555,139.31,,,,,,,0.830555,,,,,,,,,,,,,
clip_only,ww-00008,tier_06_within_block_drift,6,3,page_03.html,0.815202,136.06,,,,,,,0.815202,,,,,,,,,,,,,
clip_only,ww-00008,tier_06_within_block_drift,6,4,page_04.html,0.888736,139.85,,,,,,,0.888736,,,,,,,,,,,,,
clip_only,ww-00008,tier_06_within_block_drift,6,5,page_05.html,0.867900,153.47,,,,,,,0.867900,,,,,,,,,,,,,
clip_only,ww-00008,adv_01_brand_color_blank,7,1,index.html,0.710499,139.00,,,,,,,0.710499,,,,,,,,,,,,,
clip_only,ww-00008,adv_01_brand_color_blank,7,2,page_02.html,0.673024,122.68,,,,,,,0.673024,,,,,,,,,,,,,
clip_only,ww-00008,adv_01_brand_color_blank,7,3,page_03.html,0.678435,123.79,,,,,,,0.678435,,,,,,,,,,,,,
clip_only,ww-00008,adv_01_brand_color_blank,7,4,page_04.html,0.700670,126.34,,,,,,,0.700670,,,,,,,,,,,,,
clip_only,ww-00008,adv_01_brand_color_blank,7,5,page_05.html,0.679313,136.15,,,,,,,0.679313,,,,,,,,,,,,,
clip_only,ww-00008,adv_02_color_block,8,1,index.html,0.582815,140.26,,,,,,,0.582815,,,,,,,,,,,,,
clip_only,ww-00008,adv_02_color_block,8,2,page_02.html,0.554929,124.80,,,,,,,0.554929,,,,,,,,,,,,,
